

Year Ended December 31,
2015,
Class A,Class B,Class C,
Basic net income per share:,
Numerator,
Adjustment Payment to Class C capital stockholders,0,0,522,
Allocation of undistributed earnings,6695,1196,7935,
Total,6695,1196,8457,
Denominator,
Number of shares used in per share computation,289640,51745,343241,
Basic net income per share,23.11,23.11,24.63,
Diluted net income per share:,
Numerator,
Adjustment Payment to Class C capital stockholders,0,0,522,
Allocation of undistributed earnings for basic computation,6695,1196,7935,
Reallocation of undistributed earnings as a result of conversion of Class B to Class A shares,1196,0,0,
Reallocation of undistributed earnings,(39,),(14,),39,
Allocation of undistributed earnings,7852,1182,7974,
Denominator,
Number of shares used in basic computation,289640,51745,343241,
Weighted-average effect of dilutive securities,
Add:,
Conversion of Class B to Class A common shares outstanding,51745,0,0,
Restricted stock units and other contingently issuable shares,2395,0,5909,
Number of shares used in per share computation,343780,51745,349150,
Diluted net income per share,22.84,22.84,24.34,
